col.0: MtotZAMS/Msun  col.1:num mergers
430509781.0324014 817
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_1982689 90.4894 31.124 21.8604 18.8328 40.6932 13646.6338 34.792 0.012287 0.0 0.0 1.0 1.0 1.827 0.0 0.0 3.117 0.0 -0.0 3.971 6.903 False
0_2003948 66.6413 21.8154 17.119 14.7918 31.910800000000002 9608.3311 26.503 0.015669 0.0 0.0 1.0 1.0 2.31 0.0 -0.0 4.027 0.0 -0.0 4.407 7.964 False
0_2045004 73.7584 23.9117 18.578 15.9072 34.4852 7398.167 26.264 0.014499 0.0 0.0 1.0 1.0 2.224 -0.0 0.0 3.908 -0.0 0.0 4.241 7.618 False
0_2065225 68.4025 21.1136 17.4651 14.7584 32.2235 6762.4053 24.387 0.015517 0.0 0.0 1.0 1.0 2.404 -0.0 0.0 4.221 -0.0 0.0 4.363 7.977 False
0_2084074 55.8161 17.52 14.5116 11.0779 25.5895 6297.4028 20.305 0.10957 0.0 11.1768 1.0 1.0 2.798 0.0 -0.0 20.54 3.977 -0.1522 4.776 8.794 False
0_2116432 75.1146 22.5229 18.9969 15.6385 34.635400000000004 13047.1689 30.449 0.014436 0.0 0.0 1.0 1.0 2.209 -0.0 -0.0 3.687 -0.0 -0.0 4.211 7.708 False
0_2130168 64.1051 19.6394 16.4833 13.8507 30.334 5416.1929 22.018 0.018316 0.0 1.2742 1.0 1.0 2.553 0.0 -0.0 6.147 0.3879 0.2949 4.481 8.24 False
0_2142138 70.747 22.1448 18.0536 15.2185 33.2721 13824.8291 30.003 0.015028 0.0 0.0 1.0 1.0 2.223 -0.0 0.0 3.749 0.0 0.0 4.304 7.833 False
0_2143792 60.0787 18.7721 15.5494 12.5882 28.1376 13692.7627 26.433 0.053919 0.0 7.2913 1.0 1.0 2.469 -0.0 0.0 11.23 2.457 -2.077 4.611 8.479 False
0_2182095 74.9513 22.4893 18.9358 15.6277 34.563500000000005 11493.083 29.431 0.014466 0.0 0.0 1.0 1.0 2.229 0.0 0.0 3.75 0.0 0.0 4.215 7.712 False
0_2242035 74.8446 23.6124 18.3401 15.9557 34.2958 2427.0459 19.728 0.014579 0.0 0.0 1.0 1.0 2.35 0.0 -0.0 4.488 -0.0 -0.0 4.227 7.604 False
0_2277789 95.9257 28.7913 22.6669 18.5663 41.2332 9959.6201 32.377 0.012126 0.0 0.0 1.0 1.0 1.929 0.0 -0.0 3.285 0.0 -0.0 3.911 6.984 False
0_2334774 62.3616 19.3278 15.9176 13.306 29.223599999999998 2649.4685 17.876 0.024363 0.0 3.1177 1.0 1.0 2.687 -0.0 0.0 10.72 -0.9185 0.3874 4.539 8.32 False
0_2388129 60.6341 18.6509 15.6661 12.621 28.287100000000002 6412.9448 21.824 0.04278 0.0 3.2544 1.0 1.0 2.631 0.0 -0.0 13.12 0.916 -1.051 4.593 8.464 False
